,token,name,symbol
9653,500120,DIAMINESQ,DIAMINESQ
9654,500069,QUESTCAP,QUESTCAP
9655,500078,OAL,OAL
9656,500116,IDBI,IDBI
9657,500126,PGHL,PGHL
9658,500215,SUNDROP,SUNDROP
9659,500294,NCC,NCC
9660,500296,NAHARSPING,NAHARSPING
9661,500298,NAPEROL,NAPEROL
9662,500354,RAJSREESUG,RAJSREESUG
9663,500356,RAMANEWS,RAMANEWS
9664,500403,SUNDRMFAST,SUNDRMFAST
9665,500429,UNIENTER,UNIENTER
9666,500450,MPILCORPL,MPILCORPL
9667,500470,TATASTEEL,TATASTEEL
9668,500483,TATACOMM,TATACOMM
9669,500493,BHARATFORG,BHARATFORG
9670,500144,FINCABLES,FINCABLES
9671,500160,GTL,GTL
9672,500170,GTNINDS,GTNINDS
9673,500184,HSCL,HSCL
9674,500188,HINDZINC,HINDZINC
9675,500189,NDLVENTURE,NDLVENTURE
9676,500199,IGPL,IGPL
9677,500220,JASCH,JASCH
9678,500380,JKLAKSHMI,JKLAKSHMI
9679,500389,SILVERLINE,SILVERLINE
9680,500408,TATAELXSI,TATAELXSI
9681,500425,AMBUJACEM,AMBUJACEM
9682,500202,INDLEASE,INDLEASE
9683,500213,ITHL,ITHL
9684,500234,KAKATCEM,KAKATCEM
9685,500239,KGDENIM,KGDENIM
9686,500240,KINETICENG,KINETICENG
9687,500241,KIRLOSBROS,KIRLOSBROS
9688,500247,KOTAKBANK,KOTAKBANK
9689,500257,LUPIN,LUPIN
9690,500480,CUMMINSIND,CUMMINSIND
9691,500645,DEEPAKFERT,DEEPAKFERT
9692,500710,JSWDULUX,JSWDULUX
9693,500770,TATACHEM,TATACHEM
9694,500940,FINPIPE,FINPIPE
9695,501148,DSINVEST,DSINVEST
9696,501151,KARTKIN,KARTKIN
9697,501295,IITL,IITL
9698,501311,JAYBHCR,JAYBHCR
9699,501314,PRISMX,PRISMX
9700,501425,BBTC,BBTC
9701,501622,AMALGAM,AMALGAM
9702,500259,LYKALABS,LYKALABS
9703,500264,MAFATIND,MAFATIND
9704,500280,CENTENKA,CENTENKA
9705,500284,LORDSCHLO,LORDSCHLO
9706,500285,SPICEJET,SPICEJET
9707,500300,GRASIM,GRASIM
9708,500304,NIITLTD,NIITLTD
9709,500319,INDSUCR,INDSUCR
9710,501298,INDPRUD,INDPRUD
9711,501386,EENTER,EENTER
9712,501391,WHBRADY,WHBRADY
9713,501477,MULLER,MULLER
9714,500312,ONGC,ONGC
9715,500330,RAYMOND,RAYMOND
9716,500339,RAIN,RAIN
9717,500343,AMJLAND,AMJLAND
9718,500367,RUBFILA,RUBFILA
9719,500400,TATAPOWER,TATAPOWER
9720,500402,SPMLINFRA,SPMLINFRA
9721,500418,TOKYOPLAST,TOKYOPLAST
9722,501831,COASTCORP,COASTCORP
9723,502137,DECCANCE,DECCANCE
9724,502355,BALKRISIND,BALKRISIND
9725,502850,ZGAEKWAR,ZGAEKWAR
9726,501700,INDIANVSH,INDIANVSH
9727,502090,SAGCEM,SAGCEM
9728,502219,BORORENEW,BORORENEW
9729,502587,NATHIND,NATHIND
9730,500378,JINDALSAW,JINDALSAW
9731,500407,SWARAJENG,SWARAJENG
9732,500410,ACC,ACC
9733,500413,THOMASCOOK,THOMASCOOK
9734,500488,ABBOTINDIA,ABBOTINDIA
9735,500777,TNPETRO,TNPETRO
9736,500820,ASIANPAINT,ASIANPAINT
9737,500850,INDHOTEL,INDHOTEL
9738,502865,FORBESCO,FORBESCO
9739,502893,UNITEDINT,UNITEDINT
9740,502933,KATRSPG,KATRSPG
9741,503162,RELCHEMQ,RELCHEMQ
9742,503696,SHRENTI,SHRENTI
9743,503806,SRF,SRF
9744,504112,NELCO,NELCO
9745,504220,WSI,WSI
9746,500877,APOLLOTYRE,APOLLOTYRE
9747,501479,SFTL,SFTL
9748,502175,SAURASHCEM,SAURASHCEM
9749,502986,VTL,VTL
9750,500414,TIMEX,TIMEX
9751,500426,UTLINDS,UTLINDS
9752,500439,VHL,VHL
9753,500440,HINDALCO,HINDALCO
9754,503229,SIMPLXREA,SIMPLXREA
9755,503310,SWANCORP,SWANCORP
9756,503722,BANSWRAS,BANSWRAS
9757,503776,MODIPON,MODIPON
9758,503092,PASUSPG,PASUSPG
9759,503101,MARATHON,MARATHON
9760,503349,VICTMILL,VICTMILL
9761,503624,ZSVARAJT,ZSVARAJT
9762,504000,ELPROINTL,ELPROINTL
9763,504180,STDBAT,STDBAT
9764,504286,DELTAMAGNT,DELTAMAGNT
9765,505242,DYNAMATECH,DYNAMATECH
9766,500460,MUKANDLTD,MUKANDLTD
9767,500467,HARRMALAYA,HARRMALAYA
9768,500469,FEDERALBNK,FEDERALBNK
9769,500495,ESCORTS,ESCORTS
9770,504341,RELTD,RELTD
9771,504365,RIDHISYN,RIDHISYN
9772,504375,SOFTBPO,SOFTBPO
9773,504378,NYSSACORP,NYSSACORP
9774,500570,TMPV,TMPV
9775,500575,VOLTAS,VOLTAS
9776,500620,GESHIP,GESHIP
9777,500655,GRWRHITECH,GRWRHITECH
9778,503675,WAGEND,WAGEND
9779,503863,SHRMFGC,SHRMFGC
9780,503893,ZSATYASL,ZSATYASL
9781,503960,BBL,BBL
9782,504840,KAIRA,KAIRA
9783,504879,ORIENTCER,ORIENTCER
9784,504882,NATIONSTD,NATIONSTD
9785,504918,SANDUMA,SANDUMA
9786,505355,NESCO,NESCO
9787,505840,JAIPAN,JAIPAN
9788,506076,GRINDWELL,GRINDWELL
9789,506146,VIVIDHA,VIVIDHA
9790,506197,BLISSGVS,BLISSGVS
9791,506520,JAYCH,JAYCH
9792,506525,KANORICHEM,KANORICHEM
9793,506532,NITTAGELA,NITTAGELA
9794,500870,CASTROLIND,CASTROLIND
9795,501301,TATAINVEST,TATAINVEST
9796,501343,MOTOGENFIN,MOTOGENFIN
9797,501630,ANANDPROJ,ANANDPROJ
9798,504810,INFORTEC,INFORTEC
9799,504908,DUNCANENG,DUNCANENG
9800,504988,ZWELCAST,ZWELCAST
9801,504998,WMINIMT,WMINIMT
9802,505502,PSITINFRA,PSITINFRA
9803,505712,HIMTEK,HIMTEK
9804,505790,SCHAEFFLER,SCHAEFFLER
9805,505800,RANEHOLDIN,RANEHOLDIN
9806,500034,BAJFINANCE,BAJFINANCE
9807,500048,BEML,BEML
9808,502157,MANGLMCEM,MANGLMCEM
9809,502168,NCLIND,NCLIND
9810,503681,ELCIDIN,ELCIDIN
9811,503685,MEDIAONE,MEDIAONE
9812,505029,ATLASCYCLE,ATLASCYCLE
9813,505196,TIL,TIL
9814,505368,SEMAC,SEMAC
9815,505504,GHVINFRA,GHVINFRA
9816,505850,MANCREDIT,MANCREDIT
9817,505854,TRF,TRF
9818,506162,TERRAFORM,TERRAFORM
9819,506285,BAYERCROP,BAYERCROP
9820,506734,MYSORPETRO,MYSORPETRO
9821,507488,GMBREW,GMBREW
9822,500052,BEPL,BEPL
9823,500092,CRISIL,CRISIL
9824,500103,BHEL,BHEL
9825,500109,MRPL,MRPL
9826,503689,HEALINV,HEALINV
9827,503816,SWADPOL,SWADPOL
9828,504067,ZENSARTECH,ZENSARTECH
9829,504076,JYOTI,JYOTI
9830,505681,BIMETAL,BIMETAL
9831,505807,ROLCOEN,ROLCOEN
9832,505872,WPIL,WPIL
9833,506105,STANROS,STANROS
9834,506401,DEEPAKNTR,DEEPAKNTR
9835,506528,KELENRG,KELENRG
9836,506530,KEMP,KEMP
9837,506618,PUNJABCHEM,PUNJABCHEM
9838,500110,CHENNPETRO,CHENNPETRO
9839,500125,EIDPARRY,EIDPARRY
9840,500136,ESTER,ESTER
9841,500148,UFLEX,UFLEX
9842,504697,GALADA,GALADA
9843,504741,INDIANHUME,INDIANHUME
9844,505324,MANUGRAPH,MANUGRAPH
9845,505412,WENDT,WENDT
9846,1,BSX,BSX
9847,12,BANKEX,BANKEX
9848,506120,ALNATRD,ALNATRD
9849,506122,VOLKAI,VOLKAI
9850,506134,GOURMET,GOURMET
9851,506161,ISHWATR,ISHWATR
9852,506919,MAKERSL,MAKERSL
9853,507155,JAGAJITIND,JAGAJITIND
9854,500168,GOODYEAR,GOODYEAR
9855,500171,GHCL,GHCL
9856,500186,HINDOILEXP,HINDOILEXP
9857,500187,AGI,AGI
9858,505526,DOLATALGO,DOLATALGO
9859,505650,SKYLMILAR,SKYLMILAR
9860,505725,ALGOQUANT,ALGOQUANT
9861,505744,FMGOETZE,FMGOETZE
9862,506190,ZSARVAMA,ZSARVAMA
9863,506235,ALEMBICLTD,ALEMBICLTD
9864,506906,SCBL,SCBL
9865,506935,CONTCHM,CONTCHM
9866,500020,BOMDYEING,BOMDYEING
9867,500031,BAJAJELEC,BAJAJELEC
9868,500041,BANARISUG,BANARISUG
9869,500051,BHAGGAS,BHAGGAS
9870,500002,ABB,ABB
9871,506022,PRAKASH,PRAKASH
9872,506390,SUDARCOLOR,SUDARCOLOR
9873,506597,AMAL,AMAL
9874,506605,POLYCHEM,POLYCHEM
9875,506975,RAJSPTR,RAJSPTR
9876,507205,TI,TI
9877,507486,CAPRO,CAPRO
9878,500191,HMT,HMT
9879,500214,IONEXCHANG,IONEXCHANG
9880,500249,KSB,KSB
9881,500250,LGBBROSLTD,LGBBROSLTD
9882,500083,CENTEXT,CENTEXT
9883,500093,CGPOWER,CGPOWER
9884,500097,DALMIASUG,DALMIASUG
9885,500106,IFCI,IFCI
9886,500008,ARE&M,ARE&M
9887,500049,BEL,BEL
9888,500067,BLUESTARCO,BLUESTARCO
9889,500104,HINDPETRO,HINDPETRO
9890,500113,SAIL,SAIL
9891,500114,TITAN,TITAN
9892,500117,DCW,DCW
9893,500123,ELANTAS,ELANTAS
9894,500124,DRREDDY,DRREDDY
9895,500331,PIDILITIND,PIDILITIND
9896,500336,SURYAROSNI,SURYAROSNI
9897,500355,RALLIS,RALLIS
9898,500405,SPLPETRO,SPLPETRO
9899,506863,SWADEIN,SWADEIN
9900,506879,GUJTHEM,GUJTHEM
9901,506979,APTPACK,APTPACK
9902,500009,AMBALALSA,AMBALALSA
9903,500039,BANCOINDIA,BANCOINDIA
9904,500087,CIPLA,CIPLA
9905,500096,DABUR,DABUR
9906,500412,TIRUMALCHM,TIRUMALCHM
9907,500463,BBOX,BBOX
9908,500464,UCAL,UCAL
9909,500490,BAJAJHLDNG,BAJAJHLDNG
9910,500135,EPL,EPL
9911,500143,PHCAP,PHCAP
9912,500151,GOLDENTOBC,GOLDENTOBC
9913,500164,GODREJIND,GODREJIND
9914,500166,GOODRICKE,GOODRICKE
9915,500180,HDFCBANK,HDFCBANK
9916,500206,MARGOFIN,MARGOFIN
9917,500228,JSWSTEEL,JSWSTEEL
9918,500119,DHAMPURSUG,DHAMPURSUG
9919,500142,FGP,FGP
9920,500165,KANSAINER,KANSAINER
9921,500179,HCL-INSYS,HCL-INSYS
9922,500520,M&M,M&M
9923,500547,BPCL,BPCL
9924,500800,TATACONSUM,TATACONSUM
9925,500825,BRITANNIA,BRITANNIA
9926,500192,PRAGBOS,PRAGBOS
9927,500233,KAJARIACER,KAJARIACER
9928,500245,KIRLFER,KIRLFER
9929,500252,LMW,LMW
9930,500235,KSL,KSL
9931,500246,ENVAIREL,ENVAIREL
9932,500251,TRENT,TRENT
9933,500266,MAHSCOOTER,MAHSCOOTER
9934,500840,EIHOTEL,EIHOTEL
9935,500878,CEATLTD,CEATLTD
9936,501370,WALCHPF,WALCHPF
9937,501421,TECHNVISN,TECHNVISN
9938,500210,INGERRAND,INGERRAND
9939,500227,JINDALPOLY,JINDALPOLY
9940,500238,WHIRLPOOL,WHIRLPOOL
9941,500243,KIRLOSIND,KIRLOSIND
9942,500267,MAJESAUT,MAJESAUT
9943,500282,MODTHREAD,MODTHREAD
9944,500290,MRF,MRF
9945,500337,PRIMESECU,PRIMESECU
9946,500277,MIDINDIA,MIDINDIA
9947,500307,NIRLON,NIRLON
9948,500317,OSWALAGRO,OSWALAGRO
9949,500338,PRSMJOHNSN,PRSMJOHNSN
9950,500262,HYBRIDFIN,HYBRIDFIN
9951,500268,MANALIPETC,MANALIPETC
9952,500271,MFSL,MFSL
9953,500292,HEIDELBERG,HEIDELBERG
9954,502445,CITADEL,CITADEL
9955,503127,RAJABAH,RAJABAH
9956,503169,RUBYMILLS,RUBYMILLS
9957,503639,INDSOYA,INDSOYA
9958,500350,RSWM,RSWM
9959,500368,PATANJALI,PATANJALI
9960,500371,SAMTELIN,SAMTELIN
9961,500387,SHREECEM,SHREECEM
9962,500370,SALORAINTL,SALORAINTL
9963,500411,THERMAX,THERMAX
9964,500422,TRANSCHEM,TRANSCHEM
9965,500510,LT,LT
9966,503657,VEERENRGY,VEERENRGY
9967,503663,TILAK,TILAK
9968,503804,SHRIDINE,SHRIDINE
9969,504036,HIRECT,HIRECT
9970,500295,VEDL,VEDL
9971,500325,RELIANCE,RELIANCE
9972,500327,PILITA,PILITA
9973,500342,PRUDMOULI,PRUDMOULI
9974,500388,SKPMIL,SKPMIL
9975,500404,SUNFLAG,SUNFLAG
9976,500444,WSTCSTPAPR,WSTCSTPAPR
9977,500458,TEAM24,TEAM24
9978,500530,BOSCHLTD,BOSCHLTD
9979,500540,PREMIER,PREMIER
9980,500550,SIEMENS,SIEMENS
9981,500660,GLAXO,GLAXO
9982,504212,UNIVCABLES,UNIVCABLES
9983,505192,SMLMAH,SMLMAH
9984,505200,EICHERMOT,EICHERMOT
9985,505216,ALFREDHE,ALFREDHE
9986,500346,PUNJCOMMU,PUNJCOMMU
9987,500357,RAMAPPR-B,RAMAPPR-B
9988,500365,WELSPLSOL,WELSPLSOL
9989,500456,PASUPTAC,PASUPTAC
9990,500459,PGHH,PGHH
9991,500472,SKFINDIA,SKFINDIA
9992,500500,HINDMOTORS,HINDMOTORS
9993,500670,GNFC,GNFC
9994,500674,SANOFI,SANOFI
9995,500680,PFIZER,PFIZER
9996,500730,NOCIL,NOCIL
9997,500830,COLPAL,COLPAL
9998,500875,ITC,ITC
9999,501110,SUNRINV,SUNRINV
10000,501150,CENTRUM,CENTRUM
10001,501423,SHAILY,SHAILY
10002,505285,TULIVE,TULIVE
10003,505509,RESPONIND,RESPONIND
10004,505594,MULTIIN,MULTIIN
10005,505690,BRADYM,BRADYM
10006,501270,ANTARIKSH,ANTARIKSH
10007,501351,RAPIDIN,RAPIDIN
10008,502015,ASIIL,ASIIL
10009,502250,LERTHAI,LERTHAI
10010,500690,GSFC,GSFC
10011,501111,ZGOLDINV,ZGOLDINV
10012,501242,TCIFINANCE,TCIFINANCE
10013,501430,BOMBCYC,BOMBCYC
10014,505700,ELECON,ELECON
10015,505750,JOSTS,JOSTS
10016,505890,KENNAMET,KENNAMET
10017,505978,TRITONV,TRITONV
10018,501833,CHOWGULSTM,CHOWGULSTM
10019,502330,ANDHRAPAP,ANDHRAPAP
10020,502589,VAPIENTER,VAPIENTER
10021,502820,DCM,DCM
10022,502281,TRIVENIGQ,TRIVENIGQ
10023,502420,ORIENTPPR,ORIENTPPR
10024,502873,HPCOTTON,HPCOTTON
10025,503671,UNIJOLL,UNIJOLL
10026,506003,SUDAI,SUDAI
10027,506166,APIS,APIS
10028,506186,GSLTD,GSLTD
10029,506222,STYRENIX,STYRENIX
10030,502450,SESHAPAPER,SESHAPAPER
10031,502901,JAMSHRI,JAMSHRI
10032,502958,LAKSHMIMIL,LAKSHMIMIL
10033,503100,PHOENIXLTD,PHOENIXLTD
10034,503622,ZSVTRADI,ZSVTRADI
10035,503635,SALSAIN,SALSAIN
10036,503641,ZODIACVEN,ZODIACVEN
10037,503772,MODWOOL,MODWOOL
10038,504058,NIPPOBATRY,NIPPOBATRY
10039,504080,JSLINDL,JSLINDL
10040,504092,INDOKEM,INDOKEM
10041,504093,PANAENERG,PANAENERG
10042,506248,AMNPLST,AMNPLST
10043,506414,FERMENTA,FERMENTA
10044,506858,GUJPETR,GUJPETR
10045,507265,EMERALL,EMERALL
10046,504084,KAYCEEI,KAYCEEI
10047,504132,PERMAGN,PERMAGN
10048,504176,HIGHENE,HIGHENE
10049,504240,DLTNCBL,DLTNCBL
10050,504340,LONGSPUR,LONGSPUR
10051,504370,ZARDIINV,ZARDIINV
10052,504614,SARDAEN,SARDAEN
10053,504973,CHOLAHLDNG,CHOLAHLDNG
10054,504380,FLOMIC,FLOMIC
10055,504258,LAKSELEC,LAKSELEC
10056,504351,EMPOWER,EMPOWER
10057,504369,GRANDMA,GRANDMA
10058,507438,IFBAGRO,IFBAGRO
10059,504731,AZADIND,AZADIND
10060,505032,AUTOPRD,AUTOPRD
10061,505036,ACGL,ACGL
10062,505163,ZFSTEERING,ZFSTEERING
10063,505250,GGDPROP,GGDPROP
10064,505283,KIRLPNU,KIRLPNU
10065,505336,HARSHILAGR,HARSHILAGR
10066,505343,MONOT,MONOT
10067,504392,KRISHNA,KRISHNA
10068,504648,BOMBWIR,BOMBWIR
10069,504959,STOVACQ,STOVACQ
10070,505010,AUTOAXLES,AUTOAXLES
10071,505515,SHYMINV,SHYMINV
10072,505685,TAPARIA,TAPARIA
10073,505693,LATIMMETAL,LATIMMETAL
10074,505737,INTLCOMBQ,INTLCOMBQ
10075,505520,ZHEMHOLD,ZHEMHOLD
10076,505523,MAHACORP,MAHACORP
10077,505590,SVPGLOB,SVPGLOB
10078,505827,SNL,SNL
10079,505075,SETCO,SETCO
10080,505255,GMMPFAUDLR,GMMPFAUDLR
10081,505299,KPT,KPT
10082,505358,INTEGRAEN,INTEGRAEN
10083,505893,HINDHARD,HINDHARD
10084,506024,HVL,HVL
10085,506074,ARSHIYA,ARSHIYA
10086,506079,LAKPRE,LAKPRE
10087,506543,MPAGI,MPAGI
10088,506579,AGVENTURES,AGVENTURES
10089,506680,TECILCHEM,TECILCHEM
10090,506687,TRANSPEK,TRANSPEK
10091,505533,WESTLIFE,WESTLIFE
10092,505688,BHARATGEAR,BHARATGEAR
10093,505726,IFBIND,IFBIND
10094,506042,ZPRBHSTE,ZPRBHSTE
10095,506184,KANANIIND,KANANIIND
10096,506260,ANUHPHR,ANUHPHR
10097,506261,MODISONLTD,MODISONLTD
10098,506405,DMCC,DMCC
10099,506690,UNICHEMLAB,UNICHEMLAB
10100,506820,ASTRAZEN,ASTRAZEN
10101,506947,ADVPETR-B,ADVPETR-B
10102,507300,RAVALSUGAR,RAVALSUGAR
10103,506109,GENESYS,GENESYS
10104,506128,PARNAXLAB,PARNAXLAB
10105,506178,VELOX,VELOX
10106,506194,ARIHANTSUP,ARIHANTSUP
10107,506642,SADHNANIQ,SADHNANIQ
10108,506808,TUTIALKA,TUTIALKA
10109,506854,TANFACIND,TANFACIND
10110,507180,KESARENT,KESARENT
10111,47,SX50,SX50
10112,500023,ASIANHOTNR,ASIANHOTNR
10113,500085,CHAMBLFERT,CHAMBLFERT
10114,507410,WALCHANNAG,WALCHANNAG
10115,506395,COROMANDEL,COROMANDEL
10116,506480,GOCLCORP,GOCLCORP
10117,506640,ZR2,ZR2
10118,506655,SUDARSCHEM,SUDARSCHEM
10119,500147,COCKERILL,COCKERILL
10120,500159,METROGLOBL,METROGLOBL
10121,500173,GFLLIMITED,GFLLIMITED
10122,500183,HFCL,HFCL
10123,506685,ULTRAMAR,ULTRAMAR
10124,506767,ALKYLAMINE,ALKYLAMINE
10125,506852,PRIMO,PRIMO
10126,506981,BLUECHIPT,BLUECHIPT
10127,507315,SAKHTISUG,SAKHTISUG
10128,500253,LICHSGFIN,LICHSGFIN
10129,500260,RAMCOCEM,RAMCOCEM
10130,500270,BARODARY,BARODARY
10131,500306,JAYKAY,JAYKAY
10132,500313,OILCOUNTUB,OILCOUNTUB
10133,500314,ORIENTHOT,ORIENTHOT
10134,500322,PANCM,PANCM
10135,500333,PIXTRANS,PIXTRANS
10136,500335,BIRLACORPN,BIRLACORPN
10137,500360,RAPICUT,RAPICUT
10138,500421,TPINDIA,TPINDIA
10139,500420,TORNTPHARM,TORNTPHARM
10140,500449,HOCL,HOCL
10141,500477,ASHOKLEY,ASHOKLEY
10142,500650,EXCELINDUS,EXCELINDUS
10143,500672,NOVARTIND,NOVARTIND
10144,500696,HINDUNILVR,HINDUNILVR
10145,500780,ZUARIIND,ZUARIIND
10146,500790,NESTLEIND,NESTLEIND
10147,500890,MODIRUBBER,MODIRUBBER
10148,501455,GREAVESCOT,GREAVESCOT
10149,501848,GARWAOFFS,GARWAOFFS
10150,501945,DHENUBUILD,DHENUBUILD
10151,502180,SHREDIGCEM,SHREDIGCEM
10152,502294,NILACHAL,NILACHAL
10153,502448,ROLLT,ROLLT
10154,502937,KESORAMIND,KESORAMIND
10155,503031,PENINLAND,PENINLAND
10156,503626,KSHITIJ,KSHITIJ
10157,503811,SIYSIL,SIYSIL
10158,503837,SHRAJSYNQ,SHRAJSYNQ
10159,504028,GEE,GEE
10160,504273,MODULEX,MODULEX
10161,504356,ZMULTIPU,ZMULTIPU
10162,504605,UNIABEXAL,UNIABEXAL
10163,504646,BGWTATO,BGWTATO
10164,504746,INLCM,INLCM
10165,504786,INVPRECQ,INVPRECQ
10166,504903,RATHIST,RATHIST
10167,505160,TALBROAUTO,TALBROAUTO
10168,505212,JAINEX,JAINEX
10169,505232,VELJAN,VELJAN
10170,505302,LAKSHMIEW,LAKSHMIEW
10171,505400,TEXINFRA,TEXINFRA
10172,505537,ZEEL,ZEEL
10173,505585,ZKOVALIN,ZKOVALIN
10174,505710,GRAUWEIL,GRAUWEIL
10175,505714,GABRIEL,GABRIEL
10176,505720,HERCULES,HERCULES
10177,505729,SINGERIND,SINGERIND
10178,506180,EMERGENT,EMERGENT
10179,506196,VIKSHEN,VIKSHEN
10180,506365,STARSOURCE,STARSOURCE
10181,506373,CITURGIA,CITURGIA
10182,506580,PBGLOBAL,PBGLOBAL
10183,506590,PCBL,PCBL
10184,506943,JBCHEPHARM,JBCHEPHARM
10185,506945,IGLFXPL-B,IGLFXPL-B
10186,507474,KFBL,KFBL
10187,507526,ASALCBR,ASALCBR
10188,507609,OLYOI,OLYOI
10189,507852,ADDIND,ADDIND
10190,509040,NETLINK,NETLINK
10191,507948,KEYCORP,KEYCORP
10192,508664,BESTEAST,BESTEAST
10193,509015,THAKRAL,THAKRAL
10194,507685,WIPRO,WIPRO
10195,507789,JAGSNPHARM,JAGSNPHARM
10196,507864,PIONRINV,PIONRINV
10197,507966,RASRESOR,RASRESOR
10198,509073,HATHWAYB,HATHWAYB
10199,509470,BOMOXY-B1,BOMOXY-B1
10200,509525,EMPIND,EMPIND
10201,509567,GOACARBON,GOACARBON
10202,509009,AUSOMENT,AUSOMENT
10203,509051,INDINFO,INDINFO
10204,509162,INDAG,INDAG
10205,509496,CEMPRO,CEMPRO
10206,509650,ZHINDHSG,ZHINDHSG
10207,509675,BIRLANU,BIRLANU
10208,511012,YAMNINV,YAMNINV
10209,511116,QUADRANT,QUADRANT
10210,510245,SWASTIVI,SWASTIVI
10211,511016,PREMCAP,PREMCAP
10212,511092,JMDVL,JMDVL
10213,511122,1STCUS,1STCUS
10214,511218,SHRIRAMFIN,SHRIRAMFIN
10215,511243,CHOLAFIN,CHOLAFIN
10216,511509,VIVOBIOT,VIVOBIOT
10217,511355,INDCEMCAP,INDCEMCAP
10218,511525,PANINDIAC,PANINDIAC
10219,511533,SAHARAHOUS,SAHARAHOUS
10220,511563,SANCF,SANCF
10221,511605,ARIHANTCAP,ARIHANTCAP
10222,511208,IVC,IVC
10223,511260,ICONIKSPEV,ICONIKSPEV
10224,511333,VLSFINANCE,VLSFINANCE
10225,511413,CREST,CREST
10226,511431,VAKRANGEE,VAKRANGEE
10227,511451,DHARFIN,DHARFIN
10228,511501,BHARAT,BHARAT
10229,511549,MORARKFI,MORARKFI
10230,511692,AJCON,AJCON
10231,511726,VIPULLTD,VIPULLTD
10232,511768,MASTERTR,MASTERTR
10233,512036,SKYBIOTECH,SKYBIOTECH
10234,512237,JAICORPLTD,JAICORPLTD
10235,511557,PROFINC,PROFINC
10236,511577,MANTRA,MANTRA
10237,511696,CHRTEDCA,CHRTEDCA
